Day,"Ad name","Amount spent (USD)","Result type",Results,Impressions,"Link clicks","3-second video plays","Purchases conversion value","Video average play time","Video plays at 75%","Video plays","Preview link","Reporting starts","Reporting ends"
2025-08-15,"Ad - AEF FB Video 61 V3",233.9,"Website purchases",11,6906,100,1311,395.23,3,116,4865,https://www.facebook.com/?feed_demo_ad=120216796514170595&h=AQCHGj2wblgr24SSHJU,2025-08-15,2025-08-15
2025-08-18,"Ad - AEF FB Video 86 V2",231.78,"Website purchases",11,10789,99,2159,429.53,3,379,10518,https://www.facebook.com/?feed_demo_ad=120232132086800595&h=AQDnZkNQqKJGV4CWry4,2025-08-18,2025-08-18
2025-08-15,"Ad - AEF FB Image 54 - V21",229.3,"Website purchases",7,11762,83,,159.24,,,,https://www.facebook.com/?feed_demo_ad=120228398792540595&h=AQDamAp9_5T2B8FvFP8,2025-08-15,2025-08-15
2025-08-13,"Ad - AEF FB Video 78 V1",228.16,"Website purchases",8,8123,74,1474,224.91,3,67,6883,https://www.facebook.com/?feed_demo_ad=120222143318900595&h=AQA7lT5UxBAI7PcESbk,2025-08-13,2025-08-13
2025-08-13,"Ad - AEF FB Video 75 V4",227.46,"Website purchases",10,10137,75,2059,495.61,3,210,9169,https://www.facebook.com/?feed_demo_ad=120220006676880595&h=AQCJkEalfuxkgkYlQZo,2025-08-13,2025-08-13
2025-08-14,"Ad - AEF FB Video 88 V1",225.28,"Website purchases",4,9797,79,1693,164.9,3,315,9421,https://www.facebook.com/?feed_demo_ad=120233551784620595&h=AQCZTKPbuFZL_Ec0MN8,2025-08-14,2025-08-14
2025-08-13,"Ad - AEF FB Image 54 - V21",225.12,"Website purchases",12,11980,90,,434.52,,,,https://www.facebook.com/?feed_demo_ad=120228398792540595&h=AQDamAp9_5T2B8FvFP8,2025-08-13,2025-08-13
2025-08-12,"Ad - AEF FB Video 46 V3 - RE 5 - WE",224.96,"Website purchases",7,8800,112,1725,264.25,3,235,7390,https://www.facebook.com/?feed_demo_ad=120213026503340595&h=AQBqLkA_DNp_yNcyBSI,2025-08-12,2025-08-12
2025-08-13,"Ad - AEF FB Video 54 V3 - RE 3 - WE",224.65,"Website purchases",13,12655,193,1959,349.41,3,616,12462,https://www.facebook.com/?feed_demo_ad=120214628615910595&h=AQBE-dTqU01IJ8XR16k,2025-08-13,2025-08-13
2025-08-18,"Ad - AEF FB Image 35 V15 - WE",224.52,"Website purchases",4,8710,93,,148.56,,,,https://www.facebook.com/?feed_demo_ad=120222691732960595&h=AQA3JjkMqSTg66tbBYk,2025-08-18,2025-08-18
2025-08-15,"Ad - AEF FB Video 83 V5 - WE",220.59,"Website purchases",4,5435,73,722,325.34,3,77,3248,https://www.facebook.com/?feed_demo_ad=120229565584280595&h=AQBiQDKT3zu-Z7m4Dww,2025-08-15,2025-08-15
2025-08-12,"Ad - AEF FB Video 75 V4",220.46,"Website purchases",13,8483,114,1717,152.49,3,209,7047,https://www.facebook.com/?feed_demo_ad=120220006676880595&h=AQCJkEalfuxkgkYlQZo,2025-08-12,2025-08-12
